friday,ret,is_loss,loss_type,spot_entry,spot_settle,spot_change_pct,call_strike,put_strike,intraday_swing_pct,intraday_min_pct,intraday_max_pct,description
2022-09-02,-0.0060613754666046255,True,Type 1: Downside Tail Crash (Put Breached),1635.9,1548.42,-5.347515129286629,1650.0,1600.0,4.061984228864846,-5.672718381319164,-1.6107341524543184,"现货大跌 -5.35% 跌破 Put 行权价 $1,600，币本位负伽马与价值损失"
2022-09-09,0.016263200495302596,False,Type 2: Upside Short Squeeze (Call Breached),1718.75,1760.54,2.431418181818179,1750.0,1700.0,4.721454545454562,-0.9425454545454626,3.7789090909090994,"现货暴涨 +2.43% 冲破 Call 行权价 $1,750，空头踩踏导致深实值"
2022-09-16,0.0229,False,Type 4: Choppy Loss / Volatility Mismatch,1451.45,1454.24,0.19222157153191421,1500.0,1400.0,3.5068379895966117,-2.242585001205688,1.2642529883909237,微幅震荡但由于手续费或接近行权价产生小幅亏损
2022-09-23,0.0184,False,Type 4: Choppy Loss / Volatility Mismatch,1293.15,1332.01,3.0050651509878845,1350.0,1250.0,4.72876309786181,-0.8351699338823959,3.893593163979414,微幅震荡但由于手续费或接近行权价产生小幅亏损
2022-09-30,-0.0059487497141114225,True,Type 1: Downside Tail Crash (Put Breached),1350.95,1311.7,-2.905362892779151,1400.0,1350.0,3.264369517746757,-3.1866464339908918,0.07772308375586512,"现货大跌 -2.91% 跌破 Put 行权价 $1,350，币本位负伽马与价值损失"
2022-10-07,0.0154,False,Type 4: Choppy Loss / Volatility Mismatch,1333.5,1315.8,-1.3273340832395952,1350.0,1300.0,2.1447319085114214,-2.013498312710904,0.1312335958005173,微幅震荡但由于手续费或接近行权价产生小幅亏损
2022-10-14,0.008012883184668789,False,Type 1: Downside Tail Crash (Put Breached),1309.55,1283.65,-1.977778626245652,1325.0,1300.0,2.9399412011759773,-2.993394677561001,-0.053453476385023624,"现货大跌 -1.98% 跌破 Put 行权价 $1,300，币本位负伽马与价值损失"
2022-10-21,0.0069883389998854645,False,Type 2: Upside Short Squeeze (Call Breached),1297.7,1308.85,0.8592124528010947,1300.0,1275.0,1.6490714340756552,-0.15411882561454648,1.4949526084611087,"现货暴涨 +0.86% 冲破 Call 行权价 $1,300，空头踩踏导致深实值"
2022-10-28,-0.026537971770481734,True,Type 2: Upside Short Squeeze (Call Breached),1537.7,1629.5,5.969955127788262,1550.0,1525.0,5.319633218443132,1.0405150549521958,6.360148273395327,"现货暴涨 +5.97% 冲破 Call 行权价 $1,550，空头踩踏导致深实值"
2022-11-04,0.0189,False,Type 4: Choppy Loss / Volatility Mismatch,1626.6,1621.36,-0.32214435017828835,1650.0,1600.0,2.751137341694321,-0.7315873601376977,2.019549981556623,微幅震荡但由于手续费或接近行权价产生小幅亏损
2022-11-11,0.0474,False,Type 4: Choppy Loss / Volatility Mismatch,1256.15,1244.1,-0.9592803407236561,1300.0,1225.0,4.585439636986033,-2.3723281455240386,2.2131114914619943,微幅震荡但由于手续费或接近行权价产生小幅亏损
2022-11-18,0.020900000000000002,False,Type 4: Choppy Loss / Volatility Mismatch,1209.95,1218.95,0.743832389768162,1225.0,1200.0,1.706682094301415,-0.6487871399644685,1.0578949543369465,微幅震荡但由于手续费或接近行权价产生小幅亏损
