friday,ret,is_loss,loss_type,spot_entry,spot_settle,spot_change_pct,call_strike,put_strike,intraday_swing_pct,intraday_min_pct,intraday_max_pct,description
2022-09-02,-0.0012743910361166441,True,Type 1: Downside Tail Crash (Put Breached),20360.0,19703.96,-3.22220039292731,20500.0,20000.0,2.4287819253438037,-3.595284872298621,-1.1665029469548172,"现货大跌 -3.22% 跌破 Put 行权价 $20,000，币本位负伽马与价值损失"
2022-09-09,0.015238815104389722,False,Type 2: Upside Short Squeeze (Call Breached),21269.5,21597.43,1.5417851853593234,21500.0,21000.0,2.8938150873316193,-0.4748583652648186,2.4189567220668007,"现货暴涨 +1.54% 冲破 Call 行权价 $21,500，空头踩踏导致深实值"
2022-09-16,0.013982213438242736,False,Type 2: Upside Short Squeeze (Call Breached),19654.5,20065.57,2.0914803225724476,20000.0,19500.0,3.49538273677783,-1.1371441654582926,2.3582385713195375,"现货暴涨 +2.09% 冲破 Call 行权价 $20,000，空头踩踏导致深实值"
2022-09-23,0.021258162381004052,False,Type 2: Upside Short Squeeze (Call Breached),18710.5,19085.73,2.0054514844605853,19000.0,18500.0,3.8080222335052594,-0.470324149541701,3.3376980839635584,"现货暴涨 +2.01% 冲破 Call 行权价 $19,000，空头踩踏导致深实值"
2022-09-30,0.0077634274570473364,False,Type 1: Downside Tail Crash (Put Breached),19752.0,19288.09,-2.348673552045366,20000.0,19500.0,2.361786148238154,-2.5642972863507474,-0.20251113811259325,"现货大跌 -2.35% 跌破 Put 行权价 $19,500，币本位负伽马与价值损失"
2022-10-07,0.010498669366986948,False,Type 1: Downside Tail Crash (Put Breached),19568.0,19417.45,-0.7693683565004106,20000.0,19500.0,1.436017988552729,-1.321034341782501,0.1149836467702281,"现货大跌 -0.77% 跌破 Put 行权价 $19,500，币本位负伽马与价值损失"
2022-10-14,0.0134,False,Type 4: Choppy Loss / Volatility Mismatch,19354.0,19138.4,-1.113981605869585,19500.0,19000.0,1.5939857393820422,-1.526816162033684,0.06716957734835827,微幅震荡但由于手续费或接近行权价产生小幅亏损
2022-10-21,0.0124,False,Type 4: Choppy Loss / Volatility Mismatch,19172.0,19160.27,-0.0611829751721249,19250.0,19000.0,0.5946171500104458,-0.21124556645107928,0.3833715835593665,微幅震荡但由于手续费或接近行权价产生小幅亏损
2022-10-28,0.004248156256428466,False,Type 2: Upside Short Squeeze (Call Breached),20490.5,20854.31,1.7755057221639392,20750.0,20250.0,1.7617920499743756,0.5343939874576042,2.29618603743198,"现货暴涨 +1.78% 冲破 Call 行权价 $20,750，空头踩踏导致深实值"
2022-11-04,0.004001569987398639,False,Type 2: Upside Short Squeeze (Call Breached),20841.0,21196.03,1.703517105705088,21000.0,20500.0,3.222014298738063,-0.27829758648817426,2.9437167122498886,"现货暴涨 +1.70% 冲破 Call 行权价 $21,000，空头踩踏导致深实值"
2022-11-11,0.0269,False,Type 4: Choppy Loss / Volatility Mismatch,16812.5,16706.66,-0.6295315985130112,17250.0,16250.0,2.5695167286245435,-1.537546468401485,1.0319702602230585,微幅震荡但由于手续费或接近行权价产生小幅亏损
2022-11-18,0.0139,False,Type 4: Choppy Loss / Volatility Mismatch,16668.5,16692.87,0.14620391756905438,17000.0,16500.0,0.8939016708161995,-0.6179320274769751,0.27596964333922447,微幅震荡但由于手续费或接近行权价产生小幅亏损
2022-11-25,0.0114,False,Type 4: Choppy Loss / Volatility Mismatch,16492.5,16558.33,0.39915112930120067,16750.0,16250.0,1.2247991511292966,-0.4911323328785855,0.7336668182507111,微幅震荡但由于手续费或接近行权价产生小幅亏损
2022-12-02,0.013835150797189368,False,Type 2: Upside Short Squeeze (Call Breached),16930.0,17000.98,0.4192557590076751,17000.0,16750.0,1.1606615475487247,-0.2362669816893037,0.924394565859421,"现货暴涨 +0.42% 冲破 Call 行权价 $17,000，空头踩踏导致深实值"
